"continent_id"	"name"
"1"	"Joyce Clark"
"2"	"Chow Wai Yee"
"3"	"Jiang Ziyi"
"4"	"Sugiyama Kenta"
"5"	"Fukuda Sara"
"6"	"Russell Gonzalez"
"7"	"Meng Xiuying"
"8"	"Ye Lan"
"9"	"Lu Jialun"
"10"	"Pan Yuning"
"11"	"Tong On Kay"
"12"	"Gong Jialun"
"13"	"Nomura Sara"
"14"	"Edith Gray"
"15"	"Sato Mai"
"16"	"Guo Jiehong"
"17"	"Murakami Aoi"
"18"	"Chen Lan"
"19"	"Mark Jones"
"20"	"Richard Hunt"
"21"	"Kato Ryota"
"22"	"Curtis Tucker"
"23"	"Lam Sze Yu"
"24"	"Fu Yunxi"
"25"	"Loui Tsz Ching"
"26"	"Ando Yota"
"27"	"Yao Zhiyuan"
"28"	"Yin Hiu Tung"
"29"	"Tong Kwok Ming"
"30"	"Yin Kwok Yin"
"31"	"Kinoshita Mitsuki"
"32"	"Au Wai Han"
"33"	"Zhu Xiaoming"
"34"	"Yamaguchi Daisuke"
"35"	"Su Rui"
"36"	"Shimada Misaki"
"37"	"Lam Ming"
"38"	"Morita Momoe"
"39"	"Stanley James"
"40"	"Tang Wai Han"
"41"	"Kaneko Misaki"
"42"	"Sheh Chieh Lun"
"43"	"Hung Kwok Kuen"
"44"	"Wei Zitao"
"45"	"Zhong Zhennan"
"46"	"Hasegawa Ayato"
"47"	"Clifford Gray"
"48"	"Jacqueline Edwards"
"49"	"Wong Kwok Yin"
"50"	"Ota Kazuma"
"51"	"Masuda Hikaru"
"52"	"Robin Woods"
"53"	"Lok Ching Wan"
"54"	"Wendy Palmer"
"55"	"Ishii Hikaru"
"56"	"Kudo Mitsuki"
"57"	"Li Zitao"
"58"	"Sakai Hana"
"59"	"Li Rui"
"60"	"Cheryl Torres"
"61"	"Liao Wai San"
"62"	"Tsui Wai Lam"
"63"	"Wendy Washington"
"64"	"Kimura Ayato"
"65"	"Lori Kennedy"
"66"	"Lo Wing Sze"
"67"	"Wu On Kay"
"68"	"Pamela Price"
"69"	"Tao Jiehong"
"70"	"Ho Wai Han"
